
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product grid: , DOM ID: product_grid, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate product view bar, DOM ID: UL__clearfix__192, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Running Menu, DOM ID: LI__megamenusu__28, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
